ComponenteCurricular;Eixo;UTE;SABER;APR
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Exercitar os processos de construção da independência e de participação em atividades colaborativas."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Desenvolver o senso de responsabilidade ao participar de atividades individuais e coletivas."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Expor seus pontos de vista e respeitar os diferentes posicionamentos em atividades individuais e coletivas."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Exercitar a cooperação em situações de liderança e independência."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Exercitar hábitos para a organização de estudo (organização do tempo, dos espaços e materiais na escola e fora dela)."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Organizar o seu tempo para estudos, pesquisas e tarefas escolares."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Criar hábitos de organização de estudo assumindo sua responsabilidade."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Realizar atividades cooperativas respeitando as regras."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Compreender a importância das regras para o convívio social e bem comum."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Praticar e reelaborar regras de convivência que colaborem para o bem comum."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Desenvolver atitudes de autonomia, afetividade e senso crítico em diversas situações."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Identificar e evitar comportamentos que envolvam bullying e cyberbullying."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Conhecer alguns mecanismos de defesa e autoproteção em relação às diversas formas de violência, incluindo bullying e cyberbullying."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Posicionar-se contrário em quaisquer formas de violência e notificar à rede de proteção."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Compreender a resiliência individual e coletiva como mecanismo de autodefesa diante de adversidades."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Identificar e participar de momentos de mobilização em diferentes instâncias de decisão (conselhos, grêmios, festas etc.)."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"CONSTRUÇÃO DA AUTONOMIA";"Formar-se como sujeito autônomo, ético, crítico e consciente de sua responsabilidade na transformação de si e do outro e pautado no bem comum e na justiça social.";"Propor e organizar momentos de mobilização da comunidade em que vive e em diferentes grupos sociais visando o bem comum."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Identificar, nomear, entender e expressar seus sentimentos, desejos e suas emoções."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"INTERAÇÃO SOCIAL E EMPATIA";"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar, e promovendo respeito ao outro e aos direitos humanos com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceito de qualquer natureza.";"Identificar, nomear, entender e expressar seus sentimentos, desejos e suas emoções, favorecendo seu convívio social, a relação com o outro e consigo mesmo."
